ProductionID;Field;Date;BarrelsProduced
ccf256e9-7109-4ad9-a147-8f708c3b5ee3;we;15/02/2024;7544
8aa2f9e1-78fc-4389-adf1-f42f2fd0ce92;house;29/05/2024;4540
4f2c1c34-fd2b-4e24-a048-6478d314f07f;step;19/02/2024;9680
c5f5ad4c-83ab-4374-8aca-b4ac4de0af38;line;4/07/2024;1860
51114daa-9214-4c7c-b64e-e9714d7030aa;yard;9/04/2024;3047
37ef7685-bbd6-42c3-8e20-81c44980dda2;nation;17/02/2024;2070
02b47955-372a-4316-8a31-8b4bd1fa4d72;heavy;11/04/2024;7628
efc56b00-7045-403b-a9d5-3b7c4f068f0f;just;2/06/2024;5455
007d67df-189c-45a9-b9e4-f8d24bf08e11;live;11/04/2024;8196
2206c0fe-c38c-4c75-9d7c-13d0e597d7fd;discuss;;2194
986d531c-436f-409b-9af9-779cefc44c77;brother;30/03/2024;9709
739fedf5-6a9a-43d2-af16-ac8231fcd438;pattern;2/04/2024;2248
29688bb0-5898-4c90-9346-fca37c1917d8;individual;6/03/2024;4835
cb90df6b-247a-48b1-a808-fffffad84c1d;race;29/03/2024;7789
906e96ac-326b-422b-a365-d1682c439d64;fall;11/01/2024;7328
ba25387b-e74f-4573-84bc-e3033d1dedc9;already;6/05/2024;8000
7c0d6e47-5267-47b1-a97a-6eb3d609f2b3;also;18/02/2024;7628
8b99627a-1078-4efb-809f-032bde7cd4c6;church;12/04/2024;-8144
7ba69631-c072-493d-8f38-3f1c6c9338c5;throw;14/01/2024;5667
ffd6f7dc-5be9-4186-94ab-2431fd76cd56;financial;5/04/2024;6525
9d7b9c36-c96c-4b7f-a8ee-ac7f4b2caf54;especially;28/05/2024;8302
5b9e226f-2eae-477e-89bb-153639c2c7df;outside;1/04/2024;6997
1df6f2d8-ad55-4046-ac2b-99fd62db65d5;agree;14/03/2024;2094
5b19f42a-2210-4c0e-ba95-ff2bca02d042;total;30/03/2024;5978
63b4354c-80ff-49e7-bca8-5c95a007f005;blood;16/07/2024;6246
7e9c4584-d6dc-43e2-a814-66a83a3056f2;budget;2/01/2024;5031
9ce54956-756a-4eec-a26f-5e0168dd4873;above;19/07/2024;1349
7c4a91f8-a588-40ac-bb01-610b6f3d5073;term;21/02/2024;1234
6d76470a-0faf-4395-adda-bd1d2ac6831c;religious;7/02/2024;9435
82458ec6-f396-4f9c-af3f-8f803d9caec4;beat;30/04/2024;5751
124f4687-3d73-4f9a-b6ba-ff87e8e9380f;talk;6/01/2024;-4802
ccd264d1-44a2-42a7-929c-b43475d56449;go;10/07/2024;1546
d4c56366-1141-4624-9bf7-2de900591546;sell;2/03/2024;8884
71d6046d-4b94-477d-91d5-fd6e7d4e4a15;learn;16/07/2024;2579
0687b798-71d8-4c5d-87c2-97e2070fd42d;part;29/03/2024;8962
a265d143-afb4-4cd9-a710-9f15b04e0c3d;child;17/05/2024;6323
877fb16e-517d-456d-89b7-d89c831d2f5c;soldier;16/06/2024;9518
c5d69e30-4a09-4002-a586-f382946c1763;own;4/03/2024;
3f72de2c-9da1-4bb9-b9fa-7cd03cafe260;final;5/01/2024;7325
2efa98e9-86eb-4bf2-a250-9ce274c30b38;civil;1/04/2024;9933
29a02ac5-b4ff-4e9e-b022-802fe85430d2;individual;16/07/2024;3435
5594e33f-ffb5-4b23-97a4-1545d8f53704;low;29/03/2024;4856
4952a051-2775-4dde-8d72-00ed3f88eb0a;social;3/03/2024;8869
50fc89c6-69cb-4a1b-b7bb-841c6f92ac9e;when;4/05/2024;8798
a9db7bed-805c-4413-9c1f-1d0cd64dfa00;eye;23/04/2024;3690
ab5444bc-2c33-404f-925d-fc98ceece980;six;19/06/2024;9759
65c7094f-ac37-4c58-b5ef-5e179b4da34e;stuff;6/05/2024;1599
7e2dd4f3-de58-4d58-b1c1-0c9cbf10ebbd;today;22/07/2024;2875
3956ff2e-6dc3-41f9-8720-75cd4c9e9aab;could;14/06/2024;9390
3fbfe339-7be8-4474-8539-2a3dc5e82808;like;12/06/2024;5137
cadac641-5fa3-4ed8-b7ab-cc1bc4414b6b;mouth;3/07/2024;6005
d4451eaa-dda6-4fa5-b8dd-16d0f1aeead9;instead;16/02/2024;9322
2d7a9d68-4f8f-41c9-a9fb-e2cbc9c170b3;happy;13/03/2024;5115
d76bab0c-0b54-47cf-99fa-89377b9f1b74;put;3/02/2024;3894
d454a373-2b99-42a4-99ad-d58b2c5b1d58;away;30/05/2024;7086
39db373e-c751-4d3d-a81f-902fd36e11d0;his;3/07/2024;1447
3b60f554-3402-4fcd-8b21-fc94dfda6431;shake;28/06/2024;2844
2022bef6-f145-4cb9-8ad4-51f764633a66;direction;23/01/2024;4294
09d1fefc-1ea8-4bdc-ae90-46bdec986818;provide;6/06/2024;2465
3ecd7903-6a0c-42c8-84b7-f7ed8fa5fd07;customer;1/01/2024;6256
b451900a-29f7-405a-af55-2239d738abc6;lose;26/04/2024;8576
23ae2cf2-01a9-410a-871f-834724141e64;camera;19/07/2024;5541
63510d98-1bf2-44cd-bbeb-079c3c248810;relationship;20/07/2024;2945
8d8c72cb-f1c9-4972-a0c3-d861363577c3;staff;4/05/2024;1395
2d810c91-303b-4e4c-8d9a-3cc3a2d1b90b;who;19/02/2024;7574
cdafc9db-bc42-4df2-b241-638ec56e0fcd;of;1/01/2024;8635
0b506a27-311a-49ed-893a-7c1cf9085db2;state;20/03/2024;-4178
e94277e1-8c4a-49b4-a109-b37a646be0cd;bar;21/03/2024;4723
10bb13ec-02ef-447c-a8ea-c31441d9c2ea;until;17/06/2024;6727
8108d611-305f-4f3e-adbc-edce491402e4;beyond;21/01/2024;5468
fc3cf3c4-1935-409a-a85d-acee49c3fbb0;year;17/02/2024;4725
32ec6621-92c0-4bef-88cf-db5dd8b8dd01;if;12/02/2024;2372
a95bcc22-0673-4242-9df9-608e1a62c852;kitchen;9/04/2024;7402
d8b2b467-7088-434c-a663-825ff04ab30d;shoulder;17/04/2024;5088
3484ec61-9b19-4aab-b158-d95d5ef846d7;too;23/06/2024;4408
dc868e44-a74b-4404-b56a-11daaf18d9f9;sort;15/04/2024;4405
40cea61a-f723-4e87-b6f4-50aaf1b99aa4;receive;12/01/2024;1016
4febcd7a-93ce-4d1f-b3e6-28419ce564f0;wait;9/02/2024;4469
6ce06a8a-cdac-4943-ac5e-2c375441c00e;so;11/05/2024;5348
5f14b7d6-a085-4947-9180-c6643034cf25;picture;9/01/2024;6804
bb17296b-9d3a-4044-b8d0-d31dbc2b6dbd;behavior;6/03/2024;3095
0bbe635e-f0cd-4320-9611-d22895b17d5e;decide;27/01/2024;8423
6b13a6bd-a057-4ef1-84f1-c473b9822c21;compare;1/02/2024;1431
927403c0-514f-41c8-8a80-1c9f13efe1df;her;13/02/2024;3153
6c401715-1165-4a09-ab36-542831023810;myself;28/02/2024;2140
cffe1186-7510-4a54-9893-8d8fe874f9a6;kid;8/05/2024;3315
c0305baa-73cc-4cf6-8edd-6585920cea00;me;13/04/2024;1775
9751dd2d-b64a-46f9-9e1e-fa86957755f4;consumer;25/01/2024;5220
31a95401-b1fc-43a6-8f16-97932df833c8;memory;10/07/2024;1794
dfddd230-e415-40ea-879d-a68bc78fb2b4;dark;23/03/2024;5855
5980338d-0ec2-43e8-b185-b966a5ec4eb0;child;28/04/2024;5797
3664fbf6-672c-414f-ae37-5f8a119ca444;parent;7/05/2024;8442
a9c37be8-6c9f-44dc-b8f7-0ed435a25b0d;eye;1/03/2024;3414
cdd99865-b285-4954-8f5b-ebeb4c8d4cb6;around;21/04/2024;3944
c8701b49-5c2c-46d4-babe-e940eb32ec90;stuff;21/02/2024;1105
6a532eda-a6d5-4e4d-be68-487241da1dac;box;23/02/2024;9626
89769331-c991-4883-95bc-9cd58fc911f8;little;7/01/2024;8393
c07260db-50d3-4bef-b0d9-f42cb27b1afb;short;24/02/2024;3163
62e74bf1-467a-4f92-99ec-fb2b3678f0e8;society;28/06/2024;2295
c3bc01e3-8e8b-4dc2-bd7a-8fc2844591ad;administration;9/07/2024;4059
cdb7a0d7-6d3e-4143-a935-9ba83d91b135;everything;3/04/2024;1118
733e2e1e-c1d1-4c29-8a92-47c097d01a22;approach;19/07/2024;9307
cddea1d6-cc5b-4e50-b6c0-9b9df3a04df5;loss;20/02/2024;4967
b799a35e-ef81-4592-baba-9310578409b5;civil;25/02/2024;7112
fedcd5aa-8867-458f-8fdf-e35b84135278;heavy;13/01/2024;4125
830bc338-8d04-4bc1-bf3c-4fa77a60669f;want;24/01/2024;7767
50035d81-a258-4c4e-81e3-39b4cddfd64a;look;22/05/2024;8823
5f2e6594-bcc3-4db1-8037-c9b4c9589303;herself;31/05/2024;2868
73d093d9-0778-4b54-9514-d29a6f6ebd38;teacher;8/07/2024;2130
ee8f7524-97a0-4f16-8cc2-d71c3ca2b388;perhaps;19/05/2024;9789
e6fd9c3b-866c-4bac-bf7e-78002bce8c35;nearly;19/01/2024;8637
93a9a15e-332c-4fe0-a212-14eef403578d;give;5/07/2024;1842
1be8ced8-5ca6-4c2d-a38e-61620eb37e3c;morning;3/02/2024;6212
4ac62b96-31ba-4744-929f-290908e28560;city;14/02/2024;9571
c47961f8-43c3-4b38-98c0-79a9ecb5650b;draw;5/03/2024;1596
39afa901-1820-40b0-855c-2ef1648a2647;hope;23/07/2024;3336
ab689018-b1bf-448b-a1f5-6d1b69b4aaec;along;25/05/2024;5751
402fec75-3916-41aa-87c0-5812b7c475bd;option;12/04/2024;2377
bdba6bb1-9dee-4c3d-a7be-4a58123404f3;set;20/04/2024;8536
b869ae3f-d60d-491b-b138-58eded71405a;where;12/06/2024;5359
ba921060-f9d1-447e-9c45-2d9c6a1112e8;star;15/03/2024;8366
c0f24022-8823-4375-bcfa-5412880f4a9f;time;29/02/2024;4839
f36b56ae-1138-435a-8830-48faa09b48cf;group;16/07/2024;1574
122c971b-450c-4539-9aa0-16f9a5addfac;town;2/06/2024;8072
5ffa6c9b-2b49-4193-a127-937ca3d0279e;popular;1/03/2024;6687
d9a98554-f421-43cc-80d9-d2347ef3ffc7;figure;13/03/2024;5716
127100d8-ea99-48f3-8b18-dfda020194b3;may;8/02/2024;1076
04fe3a61-8f3f-4519-b622-6e95063e6f98;charge;5/03/2024;5675
d14dab2f-c0b5-4c74-9bf9-d7fdce529b96;woman;1/04/2024;8703
86e007ec-cc52-44e5-b8ba-9e4bc41eccb2;better;12/07/2024;2564
6164db81-c96c-4959-a64f-cba175c5e6bf;view;12/06/2024;7408
9a9f44da-48fe-4e24-a414-1e6bf3f7db64;source;14/06/2024;2571
68ba5baf-762a-431f-97a6-c26596fa4d85;government;7/06/2024;7116
54a0c2ca-aea0-423f-a204-5261ac9b7d27;dinner;28/01/2024;9804
b19cf05d-1483-4e15-869e-f53d600c919b;school;1/05/2024;9989
411b43cf-9f0b-4a77-b30c-86ecd4d4ece7;administration;3/01/2024;2178
ada1c37f-791f-45f5-9d84-55328265b92c;talk;27/04/2024;9271
dd24fce3-b32d-4dfd-a065-b2d2976e21ee;sit;4/01/2024;1635
8f67083c-0af3-48e8-9edd-e641870fea9e;court;26/06/2024;4247
3388c520-1978-468c-ab44-0e4751667c10;capital;17/04/2024;1186
6a6fd47c-2232-4eb9-bb6f-5772190052f5;set;1/02/2024;4507
e519732a-e8e2-4e4b-a458-45d253a93042;cell;14/03/2024;9421
cacd8277-5746-436a-9f91-e02ae5ceebc8;south;5/01/2024;9125
5f3f29ca-2049-46ce-9f62-bfab31b442ad;material;12/04/2024;9235
a39be1a0-cce4-4266-bef8-0b6f5a136b06;listen;12/02/2024;3207
e936c877-2bca-485f-8fe9-86df6711ba60;future;1/06/2024;6319
c317ac06-8727-45e4-a262-1ff7e43863e0;between;19/01/2024;3528
e87f2186-1402-41ce-b96c-59e7651b9152;government;9/07/2024;2875
e39b639c-e326-4442-8da8-2441fd22dc18;strategy;23/03/2024;5729
1ffc1518-22ed-417b-b660-13c55dd2bb13;relationship;11/04/2024;3982
8a1aa911-98c6-49b0-8af1-4fc5050cef64;production;2/07/2024;
a23bfd80-9514-46e3-9fd5-5cd8f4a8a604;man;7/03/2024;9797
fb3cebb2-7e33-4e27-b389-aac43787ad85;position;7/02/2024;9186
485a65b3-d53b-4276-ac35-072b221e0aa4;staff;24/04/2024;5081
72452975-161e-4113-9cfa-a6033310d8f9;movement;17/05/2024;1282
9ab720d9-c73c-48be-8ac2-b301b1fa33bd;bag;16/03/2024;3435
da353fef-edde-4e11-acaa-8a26ed564320;not;17/04/2024;4272
3ab0ceec-6608-4040-9ded-27d0e438f8a3;attack;15/05/2024;2477
54ab4f94-6e48-44e2-b5b5-a0c5b84481c4;decide;21/03/2024;8038
6f027137-ed4a-467c-afaf-8c73aab7819f;fire;16/02/2024;7967
df1b4d91-efc2-4008-990d-cd3c1e6d7baf;factor;28/02/2024;2198
efd22113-b063-4311-aa67-37be72a68737;production;6/04/2024;3975
10f4e02b-90d4-47f5-bc6c-094ad5e445df;produce;23/01/2024;4868
e3d07eee-9e95-43b7-bc64-4632e810d27a;rule;17/02/2024;2962
77176189-148b-494d-9c06-eedd0aaf3ff9;very;10/06/2024;6682
2cc98434-314a-46a2-acd6-055509cedd7c;physical;14/06/2024;2496
2d543f62-d6e9-461f-98f9-8578bf9ae4ff;computer;20/07/2024;7247
1735b7eb-ad86-42e3-b4b8-8fc84d656582;heavy;4/04/2024;3909
626aed32-0343-4ea6-8161-9a2edeae5f9f;offer;26/03/2024;3874
836a80ed-2856-45a2-b471-a5b39ff8cd55;mouth;31/05/2024;3370
bcb8c068-e10c-4f3e-b67c-19cb2c43a579;information;11/07/2024;9676
5873c0f6-decc-4588-b055-4789db1b409e;that;15/01/2024;5838
a865d889-2e75-410a-8118-e6658ece7ac2;use;22/05/2024;9432
c91595c5-fea9-42b6-a492-3a0836c9068a;million;22/02/2024;7923
c7dab311-ce6d-4dff-96c7-22edddc2ed33;of;3/06/2024;6480
5d1c2d57-364b-4048-8f53-23954a9ca166;difficult;31/03/2024;5368
b90928a2-eccf-4d80-9d28-3cd7d5ea521c;soon;6/06/2024;2177
edf85eb3-b58a-44b7-a1dd-7c4ebcb03d32;record;14/07/2024;9076
c6a33db6-9074-44bd-8860-67ce1970ebed;tree;24/01/2024;6300
dd0e1dec-5468-4e55-bc37-aa2e82100c00;there;30/03/2024;2451
47cb5b2c-8878-468a-952a-aa08f8353481;direction;5/05/2024;5542
f15169f6-96a4-47ce-8c5f-3ec9a8a098be;in;8/03/2024;5201
f1a6df67-3497-416d-8a29-7dd7acea77a9;stop;26/05/2024;3449
f7d06f8e-0638-478f-b875-883745c75177;beautiful;7/05/2024;4034
697cf839-e219-4175-b4c9-b239b8acb92e;write;19/03/2024;7657
f1dc7a65-fc26-4526-a644-06d41ec7766b;information;25/04/2024;1539
17f7b4b4-4cb1-48c3-854e-6f0cccbb9c4b;life;13/04/2024;4721
f72ab6d9-9241-4cee-846d-4b0b210224f0;she;27/06/2024;4906
837a840f-efb6-46b1-8244-21549674fa61;board;2/04/2024;8182
b2864a44-cdab-4d1b-a104-e0d341839366;future;22/03/2024;3741
00632b11-4779-4f74-8e09-adfdf77d5d60;imagine;23/03/2024;7230
8ca75349-86eb-4858-9b6d-799a5b8ea663;age;24/04/2024;8266
d3444953-0d3e-45c1-9ee7-61dfbcf8bfc6;around;23/06/2024;1359
ce453051-0188-4869-b30b-28c5e6c0ffc1;nor;26/03/2024;-2503
28a438d9-b971-4a49-96bb-dc9dbba374f6;build;6/03/2024;1335
36b148bf-300e-43dd-a5ec-66d22796be76;particular;30/06/2024;3145
ee7c739d-ea96-453c-9e29-5a164b96de72;success;11/05/2024;7736
ab7e3262-0f59-4b82-bc34-d3cf9d12c776;around;19/06/2024;7294
81dd29cd-3ff7-4d49-813f-3231e7db9e23;free;7/07/2024;
a11111c3-6f02-4296-8e47-668e4b32bc9a;kind;14/03/2024;1410
